idx,순위,마번,마명,산지,성별,연령,중량,기수명,마체중,단승,연승,grade,length,date,데뷔일자,father,mother,경주마1등,경주마2등,경주마3등,경주마총전적,경주마3등이내횟수,경주마3등이내확률,기수1등,기수2등,기수3등,기수총전적,기수3등이내횟수,기수3등이내확률
0,12,11,가가나,한,수,4세,54,정정희,528,110.2,30.9,국5등급,1200M,20211128,2014-06-05,76502000,210490000,1,1,2,16,4,0.25,84,98,109,1556,291,0.187
1,9,5,가가나,한,수,4세,54.5,다비드,535(2),82.6,19.4,국5등급,1200M,20211009,2017-12-01,76502000,210490000,1,1,2,15,4,0.2667,97,129,118,1412,344,0.2436
2,7,9,가가나,한,수,4세,55.5,다비드,533(3),52.3,8.9,국5등급,1300M,20210807,2017-12-01,76502000,210490000,1,1,2,14,4,0.2857,93,124,110,1348,327,0.2426
3,4,10,가가나,한,수,4세,55,다비드,530,6.6,3.7,국5등급,1200M,20210620,2017-12-01,76502000,210490000,1,1,2,13,4,0.3077,91,117,109,1312,317,0.2416
4,7,5,가가나,한,수,4세,55,다비드,536(0),4.9,2.2,국5등급,1400M,20210515,2017-12-01,76502000,210490000,1,1,2,12,4,0.3333,89,113,107,1277,309,0.242
5,3,4,가가나,한,수,4세,55,다비드,536,8.7,4.1,국5등급,1200M,20210410,2017-12-01,76502000,210490000,1,1,1,11,3,0.2727,89,110,103,1244,302,0.2428
6,9,8,가가나,한,수,4세,55.5,다비드,537,131.1,19.6,국5등급,1400M,20210228,2017-12-01,76502000,210490000,1,1,1,10,3,0.3,89,108,103,1212,300,0.2475
7,7,5,가가나,한,수,3세,57,김덕현,543(11),70.3,15.4,국5등급,1400M,20201205,2017-06-02,76502000,210490000,1,1,1,9,3,0.3333,49,38,31,360,118,0.3278
8,11,11,가가나,한,수,3세,57,김덕현,532(19),3.9,1.4,국5등급,1400M,20201016,2017-06-02,76502000,210490000,1,1,1,8,3,0.375,48,38,29,332,115,0.3464
9,11,3,가기만고당,한,거,3세,52,이상규,464(9),23.9,5.6,국6등급,1300M,20220820,2022-07-01,968789388,0,0,0,1,4,1,0.25,0,1,2,34,3,0.0882
10,9,9,가기만고당,한,거,3세,56,하정훈,455(3),40,3.5,국6등급,1200M,20220625,2015-06-18,968789388,0,0,0,1,3,1,0.3333,67,94,105,1513,266,0.1758
11,10,5,가기만고당,한,거,3세,56,하정훈,452,7.3,2.2,국6등급,1200M,20220528,2015-06-18,968789388,0,0,0,1,2,1,0.5,67,94,105,1503,266,0.177
12,3,9,가기만고당,한,거,3세,56,하정훈,453(-14),97.7,9.2,국6등급,1200M,20220423,2015-06-18,968789388,0,0,0,0,1,0,0,64,93,104,1488,261,0.1754
13,7,4,가기만고당,한,거,3세,56,하정훈,467,76.6,8,국6등급,1200M,20220402,2015-06-18,968789388,0,0,0,0,0,0,0,63,93,103,1479,259,0.1751
14,10,4,가나파크,한,암,4세,*52,먼로,481,17.3,2.4,국4등급,1200M,20211127,2019-02-01,713070191,0,2,1,1,7,4,0.5714,106,124,105,925,335,0.3622
15,4,2,가나파크,한,암,4세,51,임다빈,484(-13),84.1,45,국4등급,1200M,20211024,2020-07-17,713070191,0,2,1,1,6,4,0.6667,33,30,35,418,98,0.2344
16,11,11,가나파크,한,암,4세,51,다비드,497(7),231.5,45,국4등급,1200M,20210919,2017-12-01,713070191,0,2,1,1,5,4,0.8,96,129,117,1405,342,0.2434
17,1,7,가나파크,한,암,3세,53,임기원,490,13.3,3.9,국5등급,1300M,20201122,2013-06-19,713070191,0,1,1,1,4,3,0.75,324,247,271,2402,842,0.3505
18,11,3,가나파크,한,암,3세,51,임다빈,496,12.8,4.3,국5등급,1200M,20201016,2020-07-17,713070191,0,1,1,1,3,3,1,2,3,8,80,13,0.1625
19,2,1,가나패션,한,암,3세,52.5,장추열,468(6),2.9,1.3,국5등급,1200M,20220813,2010-06-09,678570454,63384000,0,3,1,4,4,1,355,372,384,3552,1111,0.3128
20,3,7,가나패션,한,암,3세,52,다비드,462(3),3.9,2,국5등급,1300M,20220710,2017-12-01,678570454,63384000,0,3,0,3,3,1,129,151,144,1667,424,0.2543
21,2,7,가나패션,한,암,3세,54,다비드,459,3.9,1.5,국6등급,1200M,20220611,2017-12-01,678570454,63384000,0,2,0,2,2,1,128,148,143,1648,419,0.2542
22,2,4,가나패션,한,암,3세,54,다비드,460,12.2,2.5,국6등급,1200M,20220515,2017-12-01,678570454,63384000,0,1,0,1,1,1,125,146,142,1626,413,0.254
23,1,11,가로수길,한,수,6세,54,다비드,490(3),10.4,2.7,2등급,2000M,20220820,2017-12-01,574419755,32418000,4,3,0,12,7,0.5833,130,154,148,1693,432,0.2552
24,4,6,가로수길,한,수,6세,*52,다비드,487,5.1,1.4,2등급,1400M,20220604,2017-12-01,574419755,32418000,4,3,0,11,7,0.6364,127,148,142,1640,417,0.2543
25,6,6,가로수길,한,수,6세,56,다비드,489,19.6,3.3,2등급,1800M,20220430,2017-12-01,574419755,32418000,4,3,0,10,7,0.7,124,145,140,1613,409,0.2536
26,2,6,가로수길,한,수,6세,57,다비드,494(5),3.9,1.4,국3등급,1800M,20220312,2017-12-01,574419755,32418000,4,2,0,9,6,0.6667,120,140,135,1568,395,0.2519
27,2,9,가로수길,한,수,5세,56,다비드,489,1.9,3,국3등급,1800M,20210919,2017-12-01,574419755,32418000,4,1,0,8,5,0.625,95,128,117,1402,340,0.2425
28,1,2,가로수길,한,수,5세,51,다비드,490(2),9999.9,9999.9,국3등급,1800M,20210821,2017-12-01,574419755,32418000,3,1,0,7,4,0.5714,94,124,112,1371,330,0.2407
29,1,11,가로수길,한,수,4세,55,다비드,488,4.4,1.5,국4등급,1700M,20201121,2017-12-01,574419755,32418000,2,1,0,6,3,0.5,87,104,92,1136,283,0.2491
30,6,11,가야영봉,호,수,4세,54,신형철,470(-13),284.8,17.3,혼4등급,1400M,20201122,1988-04-01,2645588307,4840992,0,0,0,7,0,0,747,790,735,7124,2272,0.3189
31,12,3,가야영봉,호,수,4세,54,방춘식,483(22),17.6,6.7,혼4등급,1400M,20201016,1990-06-01,2645588307,4840992,0,0,0,6,0,0,369,373,413,4768,1155,0.2422
32,14,3,가온매직,미,수,4세,52,최범현,493(3),232.9,9.4,혼4등급,1400M,20210404,2001-07-06,2562772650,219940916,0,0,0,3,0,0,820,767,697,6596,2284,0.3463
