idx,연승,마명,산지,성별,연령,중량,기수명,마체중,단승배당,연승배당,grade,length,date,데뷔일자,경주마1등,경주마2등,경주마3등,경주마총전적,경주마3등이내횟수,경주마3등이내확률,기수1등,기수2등,기수3등,기수총전적,기수3등이내횟수,기수3등이내확률,마체중증감,money_log
0,0,가가나,0.260997247,0.288180611,0.269046439,54.0,정정희,528,110.2,30.9,국5등급,1200M,20211128,20140605,1,1,2,16,4,0.25,84,98,109,1556,291,0.187,0,18.781817718210988
1,0,가가나,0.260997247,0.288180611,0.269046439,54.5,다비드,535,82.6,19.4,국5등급,1200M,20211009,20171201,1,1,2,15,4,0.2667,97,129,118,1412,344,0.2436,1,18.781817718210988
2,0,가가나,0.260997247,0.288180611,0.269046439,55.5,다비드,533,52.3,8.9,국5등급,1300M,20210807,20171201,1,1,2,14,4,0.2857,93,124,110,1348,327,0.2426,1,18.781817718210988
3,0,가가나,0.260997247,0.288180611,0.269046439,55.0,다비드,530,6.6,3.7,국5등급,1200M,20210620,20171201,1,1,2,13,4,0.3077,91,117,109,1312,317,0.2416,0,18.781817718210988
4,0,가가나,0.260997247,0.288180611,0.269046439,55.0,다비드,536,4.9,2.2,국5등급,1400M,20210515,20171201,1,1,2,12,4,0.3333,89,113,107,1277,309,0.242,0,18.781817718210988
5,1,가가나,0.260997247,0.288180611,0.269046439,55.0,다비드,536,8.7,4.1,국5등급,1200M,20210410,20171201,1,1,1,11,3,0.2727,89,110,103,1244,302,0.2428,0,18.781817718210988
6,0,가가나,0.260997247,0.288180611,0.269046439,55.5,다비드,537,131.1,19.6,국5등급,1400M,20210228,20171201,1,1,1,10,3,0.3,89,108,103,1212,300,0.2475,0,18.781817718210988
7,0,가가나,0.260997247,0.288180611,0.304899931,57.0,김덕현,543,70.3,15.4,국5등급,1400M,20201205,20170602,1,1,1,9,3,0.3333,49,38,31,360,118,0.3278,1,18.781817718210988
8,0,가가나,0.260997247,0.288180611,0.304899931,57.0,김덕현,532,3.9,1.4,국5등급,1400M,20201016,20170602,1,1,1,8,3,0.375,48,38,29,332,115,0.3464,1,18.781817718210988
9,0,가기만고당,0.260997247,0.249026395,0.304899931,52.0,이상규,464,23.9,5.6,국6등급,1300M,20220820,20220701,0,0,1,4,1,0.25,0,1,2,34,3,0.0882,1,19.998410615825993
10,0,가기만고당,0.260997247,0.249026395,0.304899931,56.0,하정훈,455,40.0,3.5,국6등급,1200M,20220625,20150618,0,0,1,3,1,0.3333,67,94,105,1513,266,0.1758,1,19.998410615825993
11,0,가기만고당,0.260997247,0.249026395,0.304899931,56.0,하정훈,452,7.3,2.2,국6등급,1200M,20220528,20150618,0,0,1,2,1,0.5,67,94,105,1503,266,0.177,0,19.998410615825993
12,1,가기만고당,0.260997247,0.249026395,0.304899931,56.0,하정훈,453,97.7,9.2,국6등급,1200M,20220423,20150618,0,0,0,1,0,0.0,64,93,104,1488,261,0.1754,-1,19.998410615825993
13,0,가기만고당,0.260997247,0.249026395,0.304899931,56.0,하정훈,467,76.6,8.0,국6등급,1200M,20220402,20150618,0,0,0,0,0,0.0,63,93,103,1479,259,0.1751,0,19.998410615825993
14,0,가나파크,0.260997247,0.23702337,0.269046439,52.0,먼로,481,17.3,2.4,국4등급,1200M,20211127,20190201,2,1,1,7,4,0.5714,106,124,105,925,335,0.3622,0,19.691943237573554
15,0,가나파크,0.260997247,0.23702337,0.269046439,51.0,임다빈,484,84.1,45.0,국4등급,1200M,20211024,20200717,2,1,1,6,4,0.6667,33,30,35,418,98,0.2344,-1,19.691943237573554
16,0,가나파크,0.260997247,0.23702337,0.269046439,51.0,다비드,497,231.5,45.0,국4등급,1200M,20210919,20171201,2,1,1,5,4,0.8,96,129,117,1405,342,0.2434,1,19.691943237573554
17,1,가나파크,0.260997247,0.23702337,0.304899931,53.0,임기원,490,13.3,3.9,국5등급,1300M,20201122,20130619,1,1,1,4,3,0.75,324,247,271,2402,842,0.3505,0,19.691943237573554
